accession	number_samples	species	abstract	rse_gene	rse_exon	counts_gene	counts_exon	phenotype	genes	exons	files_info
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP002586">DRP002586</a>	255	human	To understand heterogeneous behaviors of individual cancer cells, it should be important to investigate gene expression levels as well as their divergences between individual cells. Here we conducted a single cell RNA Seq analysis of a series of lung adenocarcinoma cell lines. We analyzed a total of 337 RNA Seq libraries of single cells and found gene expression diversities between individual cells are characteristic depending on genes. The genes showing highly variable expressions were enriched in particular pathways. Particularly, the EGFR pathway genes originally showed wider variations and further diversity was induced in response to an anticancer-drug stimulation. We also observed that cancer-related genes, which were identified from recent clinical cancer sequencing projects, showed potential expression variations, which firstly became apparent on the anti-cancer drug stimulation.	<a href="http://duffel.rail.bio/recount/DRP002586/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002586/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002586/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP002586/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP002586/DRP002586.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002586/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP002623">DRP002623</a>	23	human	Potential Small Guide RNAs for tRNase ZL from Human Plasma, Peripheral Blood Mononuclear Cells, and Cultured Cell Lines	<a href="http://duffel.rail.bio/recount/DRP002623/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002623/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002623/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP002623/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP002623/DRP002623.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002623/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP002625">DRP002625</a>	3	human	Exosomes are small membrane vesicles (30-100 nm in diameter) secrted by numerous cells. Exosome have been shown to contain mRNA and DNA. We found at least two types of salivary exosomes (exosome I and exosome II) that are different in size and have different proteome. In previous study, we performed small RNA transcriptome analysis by next generation sequencing technology and reported that many types of small RNA, such as miRNA, piwi-interacting RNA (piRNA), small nucleolar RNA (snoRNA), other small RNAs and genomic repeats were contained in exosome I, II and whole saliva. In this study, we performed whole-transcriptome analysis using cDNA libraries constructed from total RNA except small RNAs. We found that 11-32% of reads from salivary exosomes and whole saliva were mapped to pseudogene.  The Data Access Committee of the National Bioscience Database Center (NBDC) approved that this personal genetic data were made published according to NBDC data sharing guidelines (http://humandbs.biosciencedbc.jp/).	<a href="http://duffel.rail.bio/recount/DRP002625/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002625/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002625/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP002625/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP002625/DRP002625.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002625/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP002667">DRP002667</a>	4	human	Gene expression in response to inflammatory stimuli is controlled by both transcriptional and posttranscriptional mechanisms in immune cells. Posttranscriptional regulation that modifies mRNA stability and translation provides rapid and flexible control of gene expression and control of mRNAs stability is important for coordinating the initiation and resolution of inflammation. However, the posttranscriptional mechanisms in innate immunity remain to be clarified. This study is aiming to investigate the posttranscriptional mechanisms in innate immunity based on the roles of RNA binding proteins and RNase we identified.	<a href="http://duffel.rail.bio/recount/DRP002667/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002667/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002667/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP002667/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP002667/DRP002667.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002667/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP002672">DRP002672</a>	4	human	Gene expression in response to inflammatory stimuli is controlled by both transcriptional and posttranscriptional mechanisms in immune cells. Posttranscriptional regulation that modifies mRNA stability and translation provides rapid and flexible control of gene expression and control of mRNAs stability is important for coordinating the initiation and resolution of inflammation. However, the posttranscriptional mechanisms in innate immunity remain to be clarified. This study is aiming to investigate the posttranscriptional mechanisms in innate immunity based on the roles of RNA binding proteins and RNase we identified.	<a href="http://duffel.rail.bio/recount/DRP002672/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002672/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002672/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP002672/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP002672/DRP002672.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002672/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP002712">DRP002712</a>	1	human	Pulmonary fibrosisinvolves the process known as epithelial-to-mesenchymal transition (EMT) in which alveolar epithelial cells become mesenchymal cells, as well as lung fibroblast changes to abnormal myofibroblasts, and the deposition of extracellular matrix molecules such as collagen. These changes are irreversible, so current treatment aims to halt disease progression. Pulmonary fibrosis can be drug-induced or caused by an infectious disease or occupational dust inhalation, but the cause is unknown in idiopathic pulmonary fibrosis (IPF). This project analyzes gene expression during EMT or fibrosis, using EMTmodel induced in human alveolar epithelial cells (A549) by transforming growth factor (TGF)-b1 stimulation or pulmonary fibrosis model mouse.	<a href="http://duffel.rail.bio/recount/DRP002712/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002712/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002712/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP002712/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP002712/DRP002712.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002712/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP002721">DRP002721</a>	1	human	The project aims to reveal biological function of histone variants. The samples are the HeLa cells that exogenously produce the GFP-tagged histone variants. We performed ChIP-Seq for the tags and epigenetic markers. We also performed mRNA-Seq to profile the gene expression in the cells.	<a href="http://duffel.rail.bio/recount/DRP002721/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002721/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002721/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP002721/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP002721/DRP002721.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002721/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP002835">DRP002835</a>	2	human	To determine the factors which might promote metastasis at downstream of ANGPTL2 in breast cancer cell, mRNA sequencing analyses of MDA-MB231 cells harboring ANGPTL2 knockdown (MB231/miANGPTL2) and relative to control (MB231/miLacZ) cells were carried out by using illumina GAIIx sequencer.	<a href="http://duffel.rail.bio/recount/DRP002835/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002835/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002835/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP002835/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP002835/DRP002835.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002835/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP002851">DRP002851</a>	8	human	1. To identify lncRNA regulating colorectal tumorigenesis, we performed RNA-seq analysis of cells with high and low tumorigenicity 2. To study the role of UPAT in colorectal cancer cells, we investigated the gene expression profiles of HCT116 cells in which UPAT expression had been suppressed by siRNA.	<a href="http://duffel.rail.bio/recount/DRP002851/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002851/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002851/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP002851/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP002851/DRP002851.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002851/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=DRP002860">DRP002860</a>	20	human	The cell sheet engineering improved the function of the ocular surface, but the impairment of full recovery of visual acuity still remains. To address this problem, we transduced PAX6 isoforms, OCT4 and KLF4 into oral mucosal epithelial cells and investigated the molecular mechanism for induced corneal epithelium specific genes. This study will improve the clinical outcome of epithelial sheet transplantation.	<a href="http://duffel.rail.bio/recount/DRP002860/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002860/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002860/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP002860/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/DRP002860/DRP002860.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/DRP002860/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP000546">ERP000546</a>	48	human	NA	<a href="http://duffel.rail.bio/recount/ERP000546/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP000546/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP000546/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP000546/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP000546/ERP000546.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP000546/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP000573">ERP000573</a>	10	human	NA	<a href="http://duffel.rail.bio/recount/ERP000573/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP000573/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP000573/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP000573/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP000573/ERP000573.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP000573/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP000710">ERP000710</a>	12	human	NA	<a href="http://duffel.rail.bio/recount/ERP000710/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP000710/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP000710/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP000710/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP000710/ERP000710.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP000710/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP000787">ERP000787</a>	3	human	NA	<a href="http://duffel.rail.bio/recount/ERP000787/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP000787/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP000787/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP000787/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP000787/ERP000787.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP000787/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=ERP000799">ERP000799</a>	1	human	NA	<a href="http://duffel.rail.bio/recount/ERP000799/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP000799/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP000799/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP000799/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/ERP000799/ERP000799.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/ERP000799/files_info.tsv">link</a>
